Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
SOLUSDT,15min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-0.24660151999994495,4,50.0,reports_walkforward/returns_SOLUSDT_15min.pkl,54,5,1,1
SOLUSDT,15min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,2.8754807999999965,4,50.0,reports_walkforward/returns_SOLUSDT_15min.pkl,52,5,1,1
SOLUSDT,15min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,9.226509440000052,4,75.0,reports_walkforward/returns_SOLUSDT_15min.pkl,52,5,2,1
SOLUSDT,15min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,5.448293320000008,4,75.0,reports_walkforward/returns_SOLUSDT_15min.pkl,46,5,2,1
SOLUSDT,15min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.8851123199999922,1,0.0,reports_walkforward/returns_SOLUSDT_15min.pkl,52,5,1,1
SOLUSDT,15min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,2.2246862800000544,11,72.72727272727273,reports_walkforward/returns_SOLUSDT_15min.pkl,53,5,1,3
SOLUSDT,15min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,4.744209759999984,5,60.0,reports_walkforward/returns_SOLUSDT_15min.pkl,54,5,1,1
SOLUSDT,15min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,0.81619624,1,100.0,reports_walkforward/returns_SOLUSDT_15min.pkl,54,5,1,5
SOLUSDT,15min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-25.647069400000056,10,50.0,reports_walkforward/returns_SOLUSDT_15min.pkl,53,5,2,1
SOLUSDT,15min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,1.7536101599999743,1,100.0,reports_walkforward/returns_SOLUSDT_15min.pkl,54,7,2,4
SOLUSDT,15min,33,2024-12-30,2025-03-24,2025-03-24,2025-04-03,-0.108389760000005,1,0.0,reports_walkforward/returns_SOLUSDT_15min.pkl,54,7,1,5
NEARUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,15.757543599999968,11,90.9090909090909,reports_walkforward/returns_NEARUSDT_30min.pkl,42,6,1,4
NEARUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,1.0994580000000198,1,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,50,9,2,2
NEARUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0.0,reports_walkforward/returns_NEARUSDT_30min.pkl,51,9,1,2
NEARUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.9975322160000095,2,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,40,7,1,4
NEARUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,-9.576867059999927,8,75.0,reports_walkforward/returns_NEARUSDT_30min.pkl,40,7,1,2
NEARUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,13.847378328000094,8,75.0,reports_walkforward/returns_NEARUSDT_30min.pkl,54,8,2,4
NEARUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,4.346298752000011,3,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,54,8,1,5
NEARUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-2.0912128360000004,2,50.0,reports_walkforward/returns_NEARUSDT_30min.pkl,48,8,2,2
NEARUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,-1.8046176359999277,9,66.66666666666666,reports_walkforward/returns_NEARUSDT_30min.pkl,52,5,1,4
NEARUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-0.05203221199997499,3,66.66666666666666,reports_walkforward/returns_NEARUSDT_30min.pkl,54,6,1,7
NEARUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.484867268000012,1,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,52,6,1,4
NEARUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,5.791162791999982,3,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,54,6,1,2
NEARUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,10.139444427999988,7,85.71428571428571,reports_walkforward/returns_NEARUSDT_30min.pkl,54,5,1,2
NEARUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,-2.1321820440000416,3,66.66666666666666,reports_walkforward/returns_NEARUSDT_30min.pkl,52,6,1,2
NEARUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,-0.6073418399999864,3,66.66666666666666,reports_walkforward/returns_NEARUSDT_30min.pkl,52,5,1,1
NEARUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.25745286800001876,6,66.66666666666666,reports_walkforward/returns_NEARUSDT_30min.pkl,44,6,1,2
NEARUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.4689573520000767,2,50.0,reports_walkforward/returns_NEARUSDT_30min.pkl,45,6,1,6
NEARUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,3.768419212000018,4,75.0,reports_walkforward/returns_NEARUSDT_30min.pkl,46,6,1,2
NEARUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,1.0784307440000251,3,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,45,6,1,7
NEARUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,-0.9559274719999622,2,50.0,reports_walkforward/returns_NEARUSDT_30min.pkl,46,6,2,5
NEARUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.3198499960000101,1,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,49,6,1,7
